"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9"
"cg03270204",0.143703432520851,0.198230942711234,0.982968141790479,0.439114021835849,0.343657223740593,0.544515340123326,0.607323150383309,0.970121081685647,0.407517611049116
"cg03565323",0.451448870822787,0.916138736298308,0.470456154318526,0.919231325387955,0.791596903465688,0.0497961980290711,0.994328658096492,0.741776538779959,0.969569521956146
"cg03588357",0.343800464645028,0.0973989092744887,0.277118407655507,0.292924765730277,0.228433999000117,0.411714374553412,0.214266147697344,0.0161669971421361,0.823831241112202
"cg03760483",0.906162163009867,0.12396805617027,0.433338873554021,0.272300049429759,0.218729363987222,0.563160648802295,0.696257534669712,0.742757375817746,0.0249962550587952
"cg04084157",0.4665186482016,0.40325219091028,0.74493138352409,0.7005273217801,0.907598826568574,0.689307771623135,0.823763199383393,0.801011355128139,0.754388934234157
"cg04126866",0.0179705922491848,0.552842984208837,0.853938288521022,0.201705295359716,0.0572462370619178,0.579852829687297,0.960654763039201,0.360571006312966,0.555008201627061
"cg04528819",0.983891915297136,0.656200292287394,0.418129764264449,0.613593962742016,0.408258113078773,0.0647077653557062,0.796456899959594,0.657858345191926,0.849394920049235
"cg04836038",0.301437352551147,0.518025264143944,0.824094387702644,0.33490473148413,0.0217615044675767,0.901608181418851,0.965081722708419,0.720874780090526,0.836716071469709
"cg05250458",0.209592873696238,0.898432777496055,0.255425950046629,0.662829041248187,0.186494204448536,0.052529979031533,0.0578923556022346,0.294464871753007,0.908458863850683
"cg05294243",0.247585436562076,0.42372002848424,0.426593112293631,0.505594321759418,0.475073612527922,0.432592365890741,0.326871820958331,0.836578232003376,0.269003009423614
"cg05365729",0.297746315365657,0.144870833028108,0.824383744504303,0.398063009371981,0.441239680163562,0.14339061267674,0.496883864281699,0.764527370221913,0.346657946240157
"cg05675373",0.193689691834152,0.355485567823052,0.267898024059832,0.167438911739737,0.266885752091184,0.501365720294416,0.288116858806461,0.0773211633786559,0.817949725082144
"cg05755779",0.09366549202241,0.0898099532350898,0.915262680035084,0.493618884356692,0.645539546851069,0.469283949118108,0.56735953874886,0.0184811232611537,0.80395676754415
"cg05921699",0.219322395510972,0.423384608468041,0.873307838337496,0.387764891143888,0.956383246462792,0.94198030908592,0.257479832042009,0.746351568493992,0.138122571166605
"cg05960024",0.40628924430348,0.092169773299247,0.909636500058696,0.0960492847952992,0.88939566235058,0.763443717965856,0.429121631896123,0.949709278531373,0.183463912457228
"cg06121469",0.989292063051835,0.0585753687191755,0.611270003952086,0.981085370061919,0.483979404671118,0.374302120413631,0.759056104114279,0.213699580868706,0.22796702478081
"cg06144905",0.461083664791659,0.279993327334523,0.908002925338224,0.110914667369798,0.593832527752966,0.5181383441668,0.217436773469672,0.707042772090062,0.472811344079673
"cg06361108",0.378129575168714,0.926357086747885,0.249629146186635,0.579090340761468,0.0946402733679861,0.430015648016706,0.216143492842093,0.684937295503914,0.403358065756038
"cg06462291",0.00827754545025527,0.351631481433287,0.0288543561473489,0.133625033777207,0.78026153636165,0.676064423983917,0.716059337137267,0.983162366785109,0.416036964859813
"cg06493994",0.60623063496314,0.457409283146262,0.523339634062722,0.297888005385175,0.816672080894932,0.877456456189975,0.963170391041785,0.239165180828422,0.0672755620907992
"cg06557358",0.61808600788936,0.379902439890429,0.415657994570211,0.548956737155095,0.709439993603155,0.452889877604321,0.496641166042536,0.0105982581153512,0.45641835895367
"cg06738602",0.612904601497576,0.801420232281089,0.286869965260848,0.499015948735178,0.843170697567984,0.0715485226828605,0.0903064340818673,0.88176750135608,0.331346229184419
"cg06810647",0.904860655311495,0.195769515587017,0.767653162591159,0.271485860459507,0.0249720469582826,0.101440236670896,0.361700953915715,0.792571036377922,0.124274219851941
"cg06952310",0.716588286217302,0.0440795680042356,0.371821044944227,0.461276354966685,0.107455546502024,0.406004077754915,0.890487181721255,0.134212407749146,0.804126937640831
"cg06993413",0.714667227584869,0.595944672590122,0.912168031325564,0.287154172547162,0.0994277035351843,0.784801492234692,0.199323265114799,0.123921554768458,0.168747781543061
"cg07285276",0.541162796551362,0.627695468952879,0.183167725102976,0.992629738524556,0.930759211303666,0.00220132200047374,0.88048507226631,0.547505708411336,0.125700354576111
"cg07291563",0.739785254467279,0.709560583112761,0.681438132654876,0.363608675776049,0.0379700008779764,0.808120505185798,0.471451351419091,0.27152678463608,0.827114417916164
"cg07337598",0.855900455033407,0.114336377941072,0.646106621716172,0.0684728773776442,0.0788205072749406,0.563515441957861,0.100817396538332,0.882322208257392,0.932999821379781
"cg07455279",0.0295184350106865,0.911676241783425,0.888076284667477,0.483632119139656,0.281946914736181,0.998130210442469,0.511909313034266,0.746740779373795,0.627809990663081
"cg07595943",0.227044167695567,0.701555366860703,0.416796566685662,0.854741523740813,0.520519797923043,0.0368533683940768,0.160906846867874,0.331967032048851,0.644431205000728
"cg08030082",0.338742064777762,0.725856937002391,0.536341952392831,0.932479651411995,0.812008877983317,0.857540422817692,0.70604126015678,0.433115093735978,0.889274573884904
"cg08090772",0.347874795785174,0.387104596244171,0.154374772449955,0.11935556307435,0.0191014858428389,0.217482291860506,0.479085939005017,0.771170436404645,0.394492946565151
"cg08124722",0.353345988551155,0.629588092444465,0.308040281990543,0.490194538608193,0.310342753538862,0.942381151951849,0.904780847253278,0.23468565591611,0.97866481076926
"cg08251036",0.713405222631991,0.354805862065405,0.951370842987671,0.111604197416455,0.51124051050283,0.898374437820166,0.91221785871312,0.356353302719072,0.96924812765792
"cg08370996",0.530615261290222,0.674773859791458,0.826874957652763,0.771602986147627,0.303745596203953,0.641756780678406,0.476311134640127,0.549428030382842,0.784550882410258
"cg08413469",0.775755486451089,0.590942236362025,0.687089877435938,0.909042827086523,0.567934516584501,0.598063043085858,0.813819870818406,0.966497902059928,0.00478310650214553
"cg08434234",0.222757208393887,0.919908424140885,0.621802415233105,0.78517843130976,0.197315072407946,0.0093015874736011,0.998313043266535,0.738498569000512,0.566259925952181
"cg08771731",0.90987051720731,0.148798814509064,0.183244607644156,0.626596052199602,0.398420742014423,0.288128857268021,0.978453200543299,0.404202601406723,0.379166060592979
"cg08965235",0.445429675048217,0.534765135031193,0.427189575275406,0.394981466466561,0.198061920469627,0.323565538506955,0.986725172260776,0.835720053175464,0.506452437024564
"cg09019938",0.953120869817212,0.369349393527955,0.212244401918724,0.0551864963490516,0.200155295198783,0.149710874073207,0.12732713134028,0.324817553395405,0.208162216702476
"cg09118625",0.999112167861313,0.983895383309573,0.106294743483886,0.616109799593687,0.0462993823457509,0.353325444273651,0.761124323355034,0.843304972397164,0.286613134434447
"cg09191327",0.316845743451267,0.80556977679953,0.78408077545464,0.333005758933723,0.409522770904005,0.567471804795787,0.884677277877927,0.120585971744731,0.0560614580754191
"cg09418283",0.737402502447367,0.522965435869992,0.216581976274028,0.498786085518077,0.22673996957019,0.140004406683147,0.942949644988403,0.971605532569811,0.866784329060465
"cg09509673",0.17238838179037,0.775589317781851,0.235546109965071,0.462155413813889,0.718811057275161,0.386173538165167,0.0605864005628973,0.746414444642141,0.33491931646131
"cg09785172",0.11986778723076,0.720832474529743,0.610285408329219,0.0919010976795107,0.00266423262655735,0.664208167465404,0.302330340491608,0.293175129918382,0.079589077970013
"cg09869858",0.138717898633331,0.732947907410562,0.344836423173547,0.716582136228681,0.0374116105958819,0.383500215830281,0.567513290094212,0.929825325962156,0.885467154206708
"cg09885951",0.761887156870216,0.356537497835234,0.794745056889951,0.529754719231278,0.427547023864463,0.746445558965206,0.07372827664949,0.668779112165794,0.36882960004732
"cg10281002",0.97427519923076,0.873653846094385,0.0338371496181935,0.00244468892924488,0.156235401751474,0.858486334560439,0.787856181850657,0.0487367059104145,0.0801033223979175
"cg10376763",0.720027003437281,0.193261552834883,0.270993979182094,0.751601316034794,0.994015600066632,0.220959738595411,0.780741528607905,0.386369711253792,0.583287884248421
"cg10377274",0.69808065216057,0.694374581798911,0.429145134286955,0.0209194167982787,0.504323511384428,0.943384082289413,0.331085812998936,0.973561890190467,0.334867133526132
"cg10486998",0.972540005343035,0.510791405336931,0.720803676173091,0.910280507989228,0.712360512232408,0.718441993696615,0.691426207078621,0.755721281981096,0.0921746974345297
"cg10523019",0.115596431074664,0.2799696943257,0.115328631363809,0.179353954968974,0.450839371187612,0.331636934773996,0.0774454285856336,0.862540056463331,0.0425882111303508
"cg10920957",0.0149622708559036,0.895558058284223,0.316143082454801,0.472642814740539,0.424441521521658,0.215825866209343,0.627703137462959,0.931425151648,0.344374499982223
"cg11932564",0.428132352884859,0.724643234862015,0.370298354886472,0.912824205588549,0.466674718540162,0.227029048139229,0.204994907369837,0.21840137289837,0.797368161613122
"cg12351433",0.697219200897962,0.308513069758192,0.937038435367867,0.727829997660592,0.801042725564912,0.209709480172023,0.470618372550234,0.891993947327137,0.579285691026598
"cg12373771",0.00620021857321262,0.803759030764922,0.451879318337888,0.891297303140163,0.900500192306936,0.293764762347564,0.815729464404285,0.231091103516519,0.549270402174443
"cg12768605",0.0267740928102285,0.547490634722635,0.0194608070887625,0.794578499626368,0.65995568735525,0.772513453382999,0.420061236713082,0.950070430757478,0.301447159610689
"cg12830694",0.00497059966437519,0.0884906598366797,0.920104847522452,0.070728249149397,0.435036520007998,0.44926788425073,0.816589857917279,0.384662042371929,0.834294733824208
"cg12946225",0.0944852870889008,0.83267541276291,0.556820670841262,0.805632530013099,0.612600941443816,0.259443916380405,0.409038211219013,0.390337977092713,0.891884647542611
"cg13038560",0.265056040836498,0.920353587949648,0.558086759410799,0.685676092747599,0.470114688621834,0.328530310187489,0.799567075446248,0.969661221839488,0.918663583230227
"cg13216057",0.625017981976271,0.0625998184550554,0.63990826299414,0.778570611495525,0.909840762382373,0.505955728469416,0.159795233048499,0.300799662945792,0.784111210610718
"cg13319175",0.380333382403478,0.476448795758188,0.791232843417674,0.892998342169449,0.996461598202586,0.593169572064653,0.672458995366469,0.199920499697328,0.9883906848263
"cg13460409",0.949674649164081,0.2300043432042,0.0779262809082866,0.521773679414764,0.603557938244194,0.818989044055343,0.596316062379628,0.441707713063806,0.174429251113907
"cg13682722",0.964987646788359,0.06804916029796,0.968975352589041,0.806647940771654,0.464685471728444,0.429635622771457,0.121173377148807,0.731321039842442,0.304358794353902
"cg13836627",0.331177267245948,0.0475746490992606,0.738192958058789,0.638343316270038,0.0826080364640802,0.669688511639833,0.584700933657587,0.961124442750588,0.966197941917926
"cg13854874",0.977325830841437,0.55589008401148,0.179748743306845,0.110907829133794,0.859509198227897,0.739598190877587,0.0623903700616211,0.216757013928145,0.431542554404587
"cg13899108",0.685976655455306,0.106312828836963,0.943645968800411,0.870445987675339,0.144445163430646,0.225427368655801,0.396206639939919,0.0464720628224313,0.954004175029695
"cg13975369",0.482876213965937,0.585882208310068,0.549262306187302,0.535120552871376,0.737954572308809,0.313092028023675,0.440568672027439,0.186166874831542,0.744163036812097
"cg14258236",0.890039552701637,0.880928182043135,0.500967337051407,0.295790335396305,0.0193421321455389,0.728545991936699,0.873409427702427,0.910157412756234,0.599855320295319
"cg14308452",0.584776393370703,0.900154755916446,0.241134332027286,0.424108726205304,0.459213795838878,0.00828352360986173,0.0770239783450961,0.335855373647064,0.415920124389231
"cg14329157",0.159348836401477,0.425441655563191,0.808123276336119,0.753897131653503,0.0433840001933277,0.108342886436731,0.434421830344945,0.819344025338069,0.691650021122769
"cg14424579",0.0460520316846669,0.0139836389571428,0.135993051808327,0.522797528887168,0.185195616912097,0.128905001329258,0.0796815839130431,0.965376055566594,0.964454460190609
"cg14501253",0.171021195594221,0.0252223738934845,0.0156501994933933,0.276527099311352,0.820540145272389,0.430964828236029,0.929445903049782,0.995806979946792,0.093834548490122
"cg14658362",0.399455228354782,0.709971598582342,0.983239176217467,0.540317967068404,0.0939960204996169,0.00700482772663236,0.944888406665996,0.532189595978707,0.441575684119016
"cg14723032",0.358379144920036,0.55054931412451,0.360416745301336,0.208046538988128,0.394578655948862,0.136558248195797,0.403278920333833,0.902740594232455,0.1067320832517
"cg14894144",0.765788512537256,0.657512000063434,0.146083968458697,0.620121971238405,0.0750065732281655,0.365375357214361,0.143973920028657,0.0947678447701037,0.815063784364611
"cg14992253",0.898952100658789,0.581508970120922,0.909184423508123,0.179458456579596,0.305169021245092,0.504863821202889,0.957660114858299,0.561953361844644,0.700597297865897
"cg15341340",0.123756603803486,0.215645988937467,0.995832515181974,0.71451079682447,0.431575024966151,0.108354916796088,0.992532080039382,0.579543118132278,0.571424571797252
"cg15381769",0.24934578826651,0.137330053607002,0.431945794029161,0.684672103496268,0.0210531528573483,0.162266662344337,0.388570333365351,0.577985632931814,0.0528987764846534
"cg15547534",0.14326398819685,0.529921842506155,0.658736359095201,0.582433208124712,0.56343543343246,0.603698171209544,0.245410769246519,0.971751781413332,0.492742272093892
"cg15661409",0.907400069525465,0.23383777262643,0.836828359868377,0.761716153705493,0.555331372888759,0.666310781147331,0.102176874643192,0.203269344754517,0.904784065205604
"cg15974053",0.706755640218034,0.240496665006503,0.0124567840248346,0.258038200670853,0.223054338013753,0.113154963357374,0.888859767001122,0.188406522851437,0.280720274196938
"cg15988232",0.306992903817445,0.323992737103254,0.637672738404945,0.488259997684509,0.397774486336857,0.909320029197261,0.332645249320194,0.0811164872720838,0.251026498153806
"cg16150435",0.84346412983723,0.351777818053961,0.0188893885351717,0.0578007644508034,0.573651602258906,0.725144120166078,0.912205474916846,0.0283273593522608,0.0860563777387142
"cg16241714",0.620201329467818,0.130627620732412,0.400631288764998,0.349533640779555,0.730982054723427,0.792413106188178,0.509855829877779,0.65010019694455,0.807135608280078
"cg16494477",0.320412248140201,0.160161113366485,0.0419511834625155,0.937079697614536,0.876205960288644,0.165719619719312,0.61687916633673,0.815958132967353,0.469149061711505
"cg16547529",0.370954734738916,0.0212220235262066,0.348510615061969,0.419015852268785,0.421505389036611,0.41289062704891,0.721981659531593,0.124790155794472,0.345830984413624
"cg16579101",0.876273500267416,0.252861231798306,0.340767118148506,0.142328180139884,0.438344835303724,0.412137981969863,0.0646817239467055,0.323254773160443,0.726883298484609
"cg17063929",0.977988111088052,0.19925130601041,0.12127496721223,0.1768205659464,0.582918521948159,0.228616369189695,0.835932334186509,0.958308979170397,0.270015374524519
"cg17099569",0.391443313099444,0.342993900412694,0.509914358844981,0.891641744179651,0.785992752993479,0.164390986319631,0.624287146143615,0.0306331967003644,0.162678738357499
"cg17285325",0.777649758383632,0.66737500904128,0.509072308195755,0.819546003127471,0.439124298514798,0.617903099860996,0.590230185771361,0.388669247971848,0.528360553551465
"cg17408647",0.507778128609061,0.7565177755896,0.0823298692703247,0.866572508122772,0.941286598099396,0.568316466640681,0.340206807712093,0.302442792104557,0.102397507755086
"cg17655614",0.306583825498819,0.457945937057957,0.533117786981165,0.540954487165436,0.872423118213192,0.454889343585819,0.198018696391955,0.191571581177413,0.527238765032962
"cg17729667",0.497316510416567,0.852885351283476,0.399566072272137,0.799567359732464,0.383512745378539,0.934114228235558,0.951737058116123,0.162291882326826,0.508520601317286
"cg17853587",0.297450780170038,0.873120308853686,0.0743135921657085,0.731792955426499,0.646834995830432,0.292781026335433,0.344959848327562,0.651191072305664,0.512999257771298
"cg17960516",0.0503956514876336,0.964028587564826,0.851882518269122,0.972713117254898,0.0630480668041855,0.530623050639406,0.350378867704421,0.521877335384488,0.432908509857953
"cg18055007",0.27314643538557,0.387131795054302,0.254629315808415,0.422939486335963,0.0416966394986957,0.917644528672099,0.73018386005424,0.293461777735502,0.979035550961271
"cg18180783",0.785034764790908,0.729211039142683,0.0342935037333518,0.205195389222354,0.906350594712421,0.696636520093307,0.12469321466051,0.394858435494825,0.0746437858324498
"cg18440048",0.222695626318455,0.15839035436511,0.542970843613148,0.192959598498419,0.238509921822697,0.0985633879899979,0.413652733666822,0.907438442809507,0.952165695140138
"cg18573383",0.0963858705945313,0.50987975532189,0.111919809598476,0.174188679782674,0.84611113416031,0.306280578719452,0.767713985405862,0.3279722656589,0.91480276430957
"cg18983672",0.566552559379488,0.679892496904358,0.99046400305815,0.0328388074412942,0.736745433183387,0.225322388112545,0.925144847249612,0.866804233053699,0.702636805828661
"cg18984151",0.0743887983262539,0.591279183747247,0.47459602355957,0.553714634617791,0.684671126306057,0.830623778281733,0.44956668606028,0.21735050319694,0.521096725016832
"cg19008809",0.866881115594879,0.518220616970211,0.340865561272949,0.696497444063425,0.653023023623973,0.208196673542261,0.54051819560118,0.265466380631551,0.769849247997627
"cg19167673",0.587185919983312,0.283698081970215,0.982443149434403,0.602827964117751,0.0872027224395424,0.235341803869233,0.125731414416805,0.691888488596305,0.550866842269897
"cg19273182",0.185040354495868,0.573045663069934,0.960984150413424,0.790232475614175,0.272509271046147,0.729859073879197,0.926219718297943,0.526723059825599,0.400009623263031
"cg19305227",0.176333492621779,0.733315661782399,0.0256395491305739,0.762247842270881,0.521754154935479,0.174982911674306,0.955542406765744,0.295954452361912,0.663649372989312
"cg19346193",0.239177303388715,0.617974257096648,0.635136672062799,0.180064566899091,0.086954599712044,0.863145546987653,0.424551657866687,0.246863872744143,0.358798613073304
"cg19478743",0.0648257087450475,0.0254971995018423,0.994105693185702,0.174228452146053,0.857308951439336,0.550719865364954,0.467732146149501,0.023547371616587,0.700549433939159
"cg19514928",0.358007933013141,0.535949976881966,0.33835192443803,0.527743091573939,0.392586854752153,0.0548419731203467,0.812658152077347,0.27480599982664,0.462677730480209
"cg19692710",0.339802361326292,0.176439734408632,0.845852319151163,0.984663730952889,0.247940088389441,0.523787898709998,0.632693402469158,0.201772602507845,0.71518965694122
"cg19945840",0.281253337627277,0.64806500216946,0.489999230019748,0.148979426827282,0.779589788289741,0.804183697095141,0.960022771265358,0.0120409741066396,0.983676913427189
"cg20295671",0.0473467544652522,0.857092394959182,0.570892743999138,0.754204484634101,0.0397924585267901,0.838610943639651,0.196777814533561,0.578770187916234,0.72519675665535
"cg20305610",0.129917393671349,0.96828463464044,0.291528640547767,0.505390352802351,0.33455035625957,0.184147332562134,0.245513351168483,0.486879852600396,0.699936519376934
"cg20524216",0.241531366249546,0.327013401780277,0.666387390810996,0.770079887006432,0.160655612125993,0.360999842407182,0.500183414435014,0.651953947264701,0.761813335353509
"cg20692569",0.262701972853392,0.534639479126781,0.699838153319433,0.228253586916253,0.216209735022858,0.88976350449957,0.328128763474524,0.935861870413646,0.0232672714628279
"cg20761322",0.255839216755703,0.227060441393405,0.0279139101039618,0.275445942534134,0.511529070092365,0.996638879412785,0.805279204854742,0.0661344015970826,0.544676213525236
"cg20795863",0.802093266276643,0.18301890976727,0.407450041500852,0.310128306271508,0.999096855521202,0.186792587861419,0.807631938485429,0.193619777215645,0.341144696809351
"cg20828084",0.768976125167683,0.794376290868968,0.878601132426411,0.159281499451026,0.607957902131602,0.847814609529451,0.741019426845014,0.0957278062123805,0.482926788041368
"cg20914508",0.839555701240897,0.792048390721902,0.404712262097746,0.0622820432763547,0.860069044167176,0.899636348942295,0.84796492382884,0.876777283847332,0.761941799428314
"cg20947775",0.992620358942077,0.579901205375791,0.548583415802568,0.0966208584140986,0.266507185529917,0.815107218921185,0.758630200056359,0.310841924510896,0.529094534926116
"cg20999813",0.967412659432739,0.603215346578509,0.614940162748098,0.858749099774286,0.487323575885966,0.516842624172568,0.78460425324738,0.674014199757949,0.355648958822712
"cg21096399",0.311542946845293,0.538881914224476,0.0499447635374963,0.978983930312097,0.209972536191344,0.900392760057002,0.395645699929446,0.971861544298008,0.177096096565947
"cg21378206",0.086142476182431,0.109462053747848,0.263067350024357,0.972374896286055,0.19651703373529,0.0697123608551919,0.582849172176793,0.220407119486481,0.66430715797469
"cg21460081",0.0437460062094033,0.84798690257594,0.619809929979965,0.909921972081065,0.568696155678481,0.949191959109157,0.787750260205939,0.467579468851909,0.462092964444309
"cg21801378",0.479016761295497,0.381978538120165,0.352621749741957,0.932570465374738,0.513417888898402,0.449676711810753,0.47012316994369,0.139777451986447,0.141838324721903
"cg21870884",0.897150317206979,0.740452596917748,0.552999621490017,0.12500189896673,0.795467173447832,0.237745001912117,0.573579078307375,0.826666155830026,0.687088726088405
"cg22006386",0.150063305161893,0.755893525900319,0.912930681137368,0.806802153587341,0.101190606597811,0.373583384323865,0.529833009233698,0.820987710962072,0.357452314114198
"cg22289837",0.186563461320475,0.210012736031786,0.719991385005414,0.506099576596171,0.831376286456361,0.522840991616249,0.461200054269284,0.913458894006908,0.21931595960632
"cg22432269",0.136700570350513,0.484432826982811,0.846367820631713,0.944478890160099,0.367590915644541,0.419599252287298,0.776597216725349,0.533829977037385,0.284582008374855
"cg22449114",0.862064618151635,0.237287569558248,0.0452405207324773,0.870289414888248,0.845734401838854,0.74048098246567,0.336055984254926,0.899744615191594,0.999322433257475
"cg22679120",0.709760895930231,0.850878798170015,0.437132054939866,0.840696278493851,0.312836518511176,0.266453351359814,0.0242374108638614,0.311972240684554,0.35889159119688
"cg22736354",0.972835684195161,0.446793170878664,0.0646747692953795,0.338574866065755,0.277987929759547,0.240319617558271,0.218229052610695,0.649431025609374,0.0463939923793077
"cg22809047",0.147149256197736,0.0646669650450349,0.237059534993023,0.379243085626513,0.789630189305171,0.323484200052917,0.380477104568854,0.898729439359158,0.996352187357843
"cg22901840",0.939029655884951,0.302195440977812,0.651113603729755,0.0321862848941237,0.476431110408157,0.311754398047924,0.488409051205963,0.0260033644735813,0.0143261800985783
"cg22920873",0.944393771002069,0.585711471037939,0.819602597737685,0.149453525431454,0.925346856936812,0.638092837296426,0.893000336596742,0.498353674542159,0.226248289458454
"cg23517605",0.679807026404887,0.474883066955954,0.16927293757908,0.545989783247933,0.625527977477759,0.925139961531386,0.914654708001763,0.298883294221014,0.685414698673412
"cg23662675",0.499076725216582,0.640312798786908,0.229111233027652,0.272619097027928,0.659192724851891,0.930588121293113,0.737995031056926,0.841932055540383,0.505461841821671
"cg23941599",0.825598950730637,0.360219679772854,0.694790814770386,0.970841498812661,0.235610229428858,0.858451480744407,0.170711914543062,0.356392667861655,0.14783622790128
"cg24116886",0.374644638039172,0.326597159262747,0.560037732124329,0.702209200477228,0.218271613121033,0.837772665079683,0.711253090295941,0.433928505750373,0.0216994353104383
"cg24126851",0.296139637008309,0.206719544250518,0.113998937653378,0.716595883481205,0.349640447646379,0.879461532458663,0.497239285614341,0.160033001564443,0.0399312884546816
"cg24254120",0.155967336846516,0.104662506608292,0.738670107908547,0.0439345024060458,0.561232719570398,0.251968700438738,0.572309930576012,0.592292923713103,0.613469125935808
"cg24262469",0.655963859753683,0.433809410315007,0.359610436484218,0.632472262484953,0.297325872350484,0.314365802332759,0.634219485800713,0.281625671777874,0.592263207538053
"cg24450312",0.490512310061604,0.498358588200063,0.540702586527914,0.835461251437664,0.303456952795386,0.521742142736912,0.938871185062453,0.814750095596537,0.414406842086464
"cg24580001",0.41424458916299,0.580480406759307,0.565100754378363,0.689558901591226,0.479462311137468,0.444505441468209,0.76733522885479,0.0577241564169526,0.829703404335305
"cg24834740",0.997361054643989,0.363197325728834,0.276532012270764,0.884376671398059,0.000118385069072247,0.951338638551533,0.655453000916168,0.949379842728376,0.758262812625617
"cg25070637",0.730742544634268,0.608977240277454,0.29755026078783,0.774512010859326,0.218055547447875,0.171909982804209,0.123060843208805,0.160260453121737,0.708650505868718
"cg25148589",0.970801012357697,0.312532783485949,0.243816279340535,0.733770843828097,0.921915663639084,0.0879398931283504,0.566822606604546,0.4419994156342,0.511170051526278
"cg25505610",0.740236752899364,0.0688160180579871,0.865194619633257,0.522629419574514,0.0382871439214796,0.629234044114128,0.0949242764618248,0.970297715160996,0.495083530899137
